ID,Study ID,Reference,Grouping,Victim,Perpetrator,Route Victim,Route Perpetrator,Compartment,AUCR Avg,AUCR AvgType,AUCR Var,AUCR VarType,CmaxR Avg,CmaxR AvgType,CmaxR Var,CmaxR VarType,t_placebo_0,t_placebo_end,t_treatment_0,t_treatment_end,t Unit,Comment,Dose,Dose free API,Dose Unit,Route,Times of Administration,Times Unit,Comment Regimen,Administered form,Formulation type,Infusion duration [min],Water volume ingested for drug intake [mL],Comment on administration/formulation,Fasted/Fed state,Duration of fasting before drug administration [h],Duration of fasting after drug administration [h],Comment on food intake,Notghi
1800,Boehringer 1160-0074,https://www.ncbi.nlm.nih.gov/pubmed/22946890,with Perpetrator (Verapamil),Dabigatran,Verapamil,PO,PO,Plasma,1.93,,,,2.11,,,,1,inf,1,inf,h,,120,,mg,PO,0,h,,,,,,,,,,,0
1801,Boehringer 1160-0100,https://www.ncbi.nlm.nih.gov/pubmed/22348256,with Perpetrator (Rifampicin),Dabigatran,Rifampicin,PO,PO,Plasma,0.3,,,,0.34,,,,0,inf,192,inf,h,,600,,mg,PO,36-60-84-108-132-156-180,h,,,,,,,,,,,0
1802,Rattanacheeworn 2021,
1803,Prueksaritanont 2017,
1804,Prueksaritanont 2017,
1805,Prueksaritanont 2017,
1806,Delavenne 2013,
1807,Gouin-Thibault 2017,
1808,Boehringer 1160-0082,
